0,0000	0,000	0,000	0,000
1,0000	0,000	0,000	0,000
2,0000	0,000	0,000	0,000
3,0000	0,000	0,000	0,000
4,0000	0,000	0,000	0,000
5,0000	0,000	0,000	0,000
6,0000	0,000	0,000	0,000
7,0000	0,000	0,000	0,000
8,0000	0,000	0,000	0,000
9,0000	0,000	0,000	0,000
10,0000	0,000	0,000	0,000
11,0000	0,000	0,000	0,000
12,0000	0,000	0,000	0,000
13,0000	0,000	0,000	0,000
14,0000	0,000	0,000	0,000
15,0000	0,000	0,000	0,000
16,0000	0,000	0,000	0,000
17,0000	0,000	0,000	0,000
18,0000	0,000	0,000	0,000
19,0000	0,000	0,000	0,000
20,0000	0,000	0,000	0,000
21,0000	0,000	0,000	0,000
22,0000	0,000	0,000	0,000
23,0000	0,000	0,000	0,000
24,0000	0,000	0,000	0,000
25,0000	0,000	0,000	0,000
26,0000	0,000	0,000	0,000
27,0000	0,000	0,000	0,000
28,0000	0,000	0,000	0,000
29,0000	0,000	0,000	0,000
30,0000	0,000	0,000	0,000
31,0000	0,000	0,000	0,000
32,0000	0,000	0,000	0,000
33,0000	0,000	0,000	0,000
34,0000	0,000	0,000	0,000
35,0000	0,000	0,000	0,000
36,0000	0,000	0,000	0,000
37,0000	0,000	0,000	0,000
38,0000	0,000	0,000	0,000
39,0000	0,000	0,000	0,000
40,0000	0,000	0,000	0,000
41,0000	0,000	0,000	0,000
42,0000	0,000	0,000	0,000
43,0000	0,000	0,000	0,000
44,0000	0,000	0,000	0,000
45,0000	0,000	0,000	0,000
46,0000	0,000	0,000	0,000
47,0000	0,000	0,000	0,000
48,0000	0,000	0,000	0,000
49,0000	0,000	0,000	0,000
50,0000	0,000	0,000	0,000
51,0000	0,000	0,000	0,000
52,0000	0,000	0,000	0,000
53,0000	0,015	0,015	0,015
54,0000	0,019	0,019	0,019
55,0000	0,009	0,009	0,009
56,0000	0,008	0,008	0,008
57,0000	0,006	0,006	0,006
